"id","лемма","часть_речи","ipm","R","D","текстов","также_собственное"
6375,"выражаться","v",30.4,100,95,1537,""
6376,"выражение","s",106.4,100,96,3127,""
6377,"выраженность","s",1.8,18,65,79,""
6378,"выраженный","a",14,92,85,874,""
6379,"выраженье","s",0.4,30,83,35,""
6380,"выразитель","s",1.9,63,89,143,""
6381,"выразительно","adv",5.6,94,92,346,""
6382,"выразительность","s",3.4,78,89,207,""
6383,"выразительный","a",10.8,99,94,631,""
6384,"выразить","v",57.7,100,94,2715,""
6385,"выразиться","v",20.1,100,96,1088,""
6386,"вырастать","v",14.6,99,94,872,""
6387,"вырасти","v",85.3,100,96,3787,""
6388,"вырастить","v",13.5,100,94,839,""
6389,"выращивание","s",7.5,79,84,422,""
6390,"выращивать","v",10.2,99,92,637,""
6391,"выращиваться","v",1.1,49,87,86,""
6392,"вырвать","v",21.1,99,93,949,""
6393,"вырваться","v",31.8,100,93,1231,""
6394,"вырез","s",4.3,82,80,202,""
6395,"вырезать","v",19.9,98,93,958,""
6396,"вырезка","s",4.7,91,89,247,""
6397,"вырисовываться","v",3.9,94,93,294,""
6398,"выровнять","v",2.4,83,92,171,""
6399,"выровняться","v",0.8,49,87,69,""
6400,"выродиться","v",1.6,74,91,129,""
6401,"выродок","s",1.8,68,88,121,""
6402,"вырождаться","v",1,52,87,88,""
6403,"вырождение","s",1.8,71,89,135,""
6404,"выронить","v",4.3,66,88,259,""
6405,"вырост","s",11.6,47,8,66,""
6406,"вырубать","v",2.1,79,91,160,""
6407,"вырубаться","v",0.7,43,83,52,""
6408,"вырубить","v",5.9,93,92,375,""
6409,"вырубиться","v",1.1,43,82,68,""
6410,"вырубка","s",5.1,73,84,195,""
6411,"выругать","v",0.6,36,84,53,""
6412,"выругаться","v",7.9,74,88,350,""
6413,"выруливать","v",1,46,85,71,""
6414,"вырулить","v",1.4,63,89,112,""
6415,"выручать","v",7.2,94,94,445,""
6416,"выручить","v",11.7,100,95,690,""
6417,"выручка","s",10.8,98,93,630,""
6418,"вырывать","v",5.5,96,93,377,""
6419,"вырываться","v",9.7,98,93,578,""
6420,"вырыть","v",5.2,91,93,333,""
6421,"вырядиться","v",1,40,82,71,""
6422,"высадить","v",8.3,97,92,480,""
6423,"высадиться","v",3.3,86,91,206,""
6424,"высадка","s",5,79,87,206,""
6425,"высаживать","v",3.8,85,88,250,""
6426,"высаживаться","v",1.6,69,90,118,""
6427,"высасывать","v",1.8,68,89,141,""
6428,"высветить","v",3,86,91,217,""
6429,"высветиться","v",1,54,88,79,""
6430,"высвечивать","v",2.1,81,91,161,""
6431,"высвечиваться","v",0.9,52,88,78,""
6432,"высвистывать","v",0.4,23,79,31,""
6433,"высвободить","v",3,85,92,220,""
6434,"высвободиться","v",2.2,71,89,164,""
6435,"высвобождать","v",1.3,72,89,110,""
6436,"высвобождаться","v",1.2,63,90,97,""
6437,"высвобождение","s",1.4,55,85,106,""
6438,"высев","s",0.7,12,41,16,""
6439,"высевать","v",0.7,31,79,37,""
6440,"высекать","v",1.4,62,89,109,""
6441,"выселение","s",3,69,85,166,""
6442,"выселить","v",3.7,90,92,246,""
6443,"выселки","s",0.7,20,50,23,""
6444,"выселок","s",0.9,17,50,18,""
6445,"выселять","v",2,78,91,139,""
6446,"высечь","v",3.7,91,92,238,""
6447,"высеять","v",0.4,19,66,21,""
6448,"высидеть","v",1.2,55,87,93,""
6449,"высиживать","v",0.9,47,86,72,""
6450,"выситься","v",5.5,91,91,307,""
6451,"высказать","v",39.6,100,96,2062,""
6452,"высказаться","v",16.7,99,94,967,""
6453,"высказывание","s",30.7,100,88,1244,""
6454,"высказывать","v",14.5,98,93,867,""
6455,"высказываться","v",12.4,99,93,782,""
6456,"выскакивать","v",9.4,95,92,527,""
6457,"выскальзывать","v",1.5,57,87,108,""
6458,"выскоблить","v",0.8,40,85,64,""
6459,"выскользнуть","v",5.3,76,89,325,""
6460,"выскочить","v",42.1,99,91,1240,""
6461,"выскочка","s",1.7,69,89,118,""
6462,"выскрести","v",0.4,33,84,37,""
6463,"выслать","v",12.5,99,94,619,""
6464,"выследить","v",2.3,70,89,157,""
6465,"выслеживать","v",1.7,66,89,132,""
6466,"выслуга","s",2.4,65,82,119,""
6467,"выслуживаться","v",0.5,27,81,37,""
6468,"выслужить","v",0.5,29,82,35,""
6469,"выслужиться","v",0.7,38,82,50,""
6470,"выслушать","v",27.3,99,95,1132,""
6471,"выслушивать","v",12.1,97,86,568,""
6472,"высматривать","v",4.8,79,89,291,""
6473,"высмеивать","v",2.8,74,87,150,""
6474,"высмеиваться","v",0.4,24,76,32,""
6475,"высмеять","v",1.6,66,89,116,""
6476,"высморкаться","v",1.8,46,86,124,""
6477,"высмотреть","v",1.8,56,87,125,""
6478,"высовывать","v",1.7,59,87,120,""
6479,"высовываться","v",6.8,91,91,408,""
6480,"высокий","a",483.3,100,96,12042,""
6481,"высоко","adv",80.3,100,94,3411,""
6482,"высокоблагородие","s",0.5,11,47,13,""
6483,"высоковольтный","a",1.8,65,87,119,""
6484,"высоко-высоко","adv",0.7,36,84,52,""
6485,"высокогорный","a",1.8,64,84,111,""
6486,"высокогорье","s",0.5,28,78,30,""
6487,"высокодоходный","a",0.5,23,79,33,""
6488,"высокоинтеллектуальный","a",0.4,30,83,35,""
6489,"высококачественный","a",5.5,66,81,387,""
6490,"высококвалифицированный","a",4.1,70,89,322,""
6491,"высококлассный","a",1.9,63,87,159,""
6492,"высоколобый","a",1.3,58,81,88,""
6493,"высокомерие","s",3.5,91,93,229,""
6494,"высокомерно","adv",2.4,76,89,171,""
6495,"высокомерный","a",4.1,92,92,278,""
6496,"высокомолекулярный","a",0.8,20,68,43,""
6497,"высоконравственный","a",0.7,41,85,52,""
6498,"высокообразованный","a",1.2,56,88,98,""
6499,"высокооплачиваемый","a",2.4,69,89,187,""
6500,"высокоорганизованный","a",0.6,33,76,45,""
6501,"высокопарно","adv",0.7,39,84,57,""
6502,"высокопарный","a",1.5,66,89,109,""
6503,"высоко-петровский","a",0.5,7,40,10,""
6504,"высокопоставленный","a",10.9,90,90,709,""
6505,"высокопревосходительство","s",0.8,14,56,20,""
6506,"высокопреосвященный","s",0.5,20,69,26,""
6507,"высокопреосвященство","s",0.7,23,69,38,""
6508,"высокопродуктивный","a",0.7,27,76,49,""
6509,"высокопроизводительный","a",2.4,55,83,151,""
6510,"высокопрофессиональный","a",1.2,55,87,108,""
6511,"высокопрочный","a",0.8,38,80,55,""
6512,"высокоразвитый","a",1.5,65,87,122,""
6513,"высокородный","a",0.4,24,79,27,""
6514,"высокорослый","a",0.6,32,80,42,""
6515,"высокоскоростной","a",1.9,48,80,115,""
6516,"высокотемпературный","a",1.8,29,76,82,""
6517,"высокотехнологический","a",0.5,25,78,38,""
6518,"высокотехнологичный","a",4.7,57,88,310,""
6519,"высокоточный","a",2.8,50,84,164,""
6520,"высокоурожайный","a",0.5,15,46,20,""
6521,"высокохудожественный","a",0.8,48,85,67,""
6522,"высокочастотный","a",1.6,38,78,87,""
6523,"высокочтимый","a",0.6,32,79,36,""
6524,"высокочувствительный","a",0.6,21,71,45,""
6525,"высокоэффективный","a",3.4,53,82,240,""
6526,"высосать","v",2.1,67,88,151,""
6527,"высота","s",101.9,100,93,3190,""
6528,"высотка","s",3,64,87,131,""
6529,"высотный","a",5.7,88,88,297,""
6530,"высохнуть","v",7,93,92,435,""
6531,"высохший","a",3.2,80,89,223,""
6532,"высочайше","adv",0.4,30,81,32,""
6533,"высочайший","a",10.6,97,94,660,""
6534,"высоченный","a",3.3,80,90,212,""
6535,"высочество","s",3.2,50,71,64,""
6536,"выспаться","v",7.3,87,90,414,""
6537,"выспрашивать","v",2.3,72,89,157,""
6538,"выспренний","a",0.7,41,85,54,""
6539,"выспросить","v",0.5,29,81,43,""
6540,"выставить","v",35.5,100,96,1731,""
6541,"выставиться","v",0.4,28,81,33,""
6542,"выставка","s",89.9,100,90,2353,""
6543,"выставка-ярмарка","s",0.9,28,66,52,""
6544,"выставление","s",1,41,84,70,""
6545,"выставлять","v",12.3,100,95,826,""
6546,"выставляться","v",4.3,91,92,315,""
6547,"выставочный","a",9.5,79,86,502,""
6548,"выстаивать","v",1.1,58,89,87,""
6549,"выстилать","v",0.6,32,72,36,""
6550,"выстирать","v",1.5,63,88,118,""
6551,"выстлать","v",1.1,38,64,52,""
6552,"выстоять","v",5,89,93,343,""
6553,"выстрадать","v",3.2,88,92,220,""
6554,"выстраивание","s",1.7,51,86,131,""
6555,"выстраивать","v",7,96,93,546,""
6556,"выстраиваться","v",7.4,98,92,491,""
6557,"выстрел","s",41.1,100,93,1134,""
6558,"выстреливать","v",1.1,58,88,92,""
6559,"выстрелить","v",15.7,97,90,610,""
6560,"выстричь","v",0.6,36,84,49,""
6561,"выстроить","v",18.8,100,95,1159,""
6562,"выстроиться","v",6.8,93,93,457,""
6563,"выстругать","v",0.4,26,80,33,""
6564,"выстудить","v",0.6,34,81,43,""
6565,"выстукивать","v",1.4,46,82,81,""
6566,"выступ","s",10.9,89,65,307,""
6567,"выступать","v",138.8,100,93,5090,""
6568,"выступающий","a",1.8,70,80,120,""
6569,"выступить","v",67.2,100,94,3129,""
6570,"выступление","s",79.5,100,91,2881,""
6571,"высунуть","v",6.1,82,90,381,""
6572,"высунуться","v",9.6,83,88,490,""
6573,"высушивать","v",0.7,33,79,52,""
6574,"высушить","v",4.1,92,92,280,""
6575,"высчитать","v",1.3,62,88,99,""
6576,"высчитывать","v",1.6,73,90,118,""
6577,"высший","a",147.8,100,95,4833,""
6578,"высылать","v",3.9,90,91,264,""
6579,"высылаться","v",0.8,29,72,54,""
6580,"высылка","s",3.1,72,88,153,""
6581,"высыпание","s",0.8,24,60,31,""
6582,"высыпать","v",7.7,92,92,471,""
6583,"высыпаться","v",2.1,76,90,152,""
6584,"высыхание","s",1,34,71,58,""
6585,"высыхать","v",2.1,75,91,162,""
6586,"высь","s",1.7,66,89,117,""
6587,"выталкивать","v",3.6,88,91,256,""
6588,"вытаптывать","v",0.4,27,80,32,""
6589,"вытаращить","v",4.2,67,87,232,""
6590,"вытаращиться","v",0.7,31,80,47,""
6591,"вытаскивать","v",13.6,95,93,706,""
6592,"вытачивать","v",0.4,28,82,33,""
6593,"вытащить","v",53,99,91,1415,""
6594,"вытворять","v",3.1,82,92,219,""
6595,"вытекать","v",20.3,100,89,1107,""
6596,"вытереть","v",16.8,91,89,683,""
6597,"вытереться","v",0.8,39,82,67,""
6598,"вытерпеть","v",3.5,78,90,222,""
6599,"вытертый","a",1.3,48,84,91,""
6600,"вытесать","v",0.5,29,82,37,""
6601,"вытеснение","s",3.1,64,87,203,""
6602,"вытеснить","v",7.2,98,94,513,""
6603,"вытеснять","v",4.1,92,92,299,""
6604,"вытесняться","v",1.1,50,87,92,""
6605,"вытечь","v",2.1,68,88,148,""
6606,"вытирать","v",15.5,93,90,717,""
6607,"вытираться","v",0.8,44,86,72,""
6608,"выткать","v",0.6,38,84,49,""
6609,"вытолкать","v",1.5,56,87,111,""
6610,"вытолкнуть","v",3.2,80,91,216,""
6611,"вытоптать","v",1.9,64,88,125,""
6612,"выторговать","v",0.7,42,86,60,""
6613,"выточить","v",1.2,62,88,89,""
6614,"вытравить","v",1.8,67,90,131,""
6615,"вытребовать","v",0.5,32,83,41,""
6616,"вытрезвитель","s",2.5,62,83,106,""
6617,"вытрясти","v",1.3,50,86,95,""
6618,"вытряхивать","v",1.7,63,89,124,""
6619,"вытряхнуть","v",2.9,64,88,194,""
6620,"вытурить","v",0.5,32,83,43,""
6621,"выть","v",12,92,91,572,""
6622,"вытягивание","s",0.8,34,76,49,""
6623,"вытягивать","v",9,96,93,536,""
6624,"вытягиваться","v",3.6,88,91,248,""
6625,"вытяжение","s",0.4,10,45,11,""
6626,"вытяжка","s",2.1,62,77,106,""
6627,"вытяжной","a",0.9,34,78,48,""
6628,"вытянутый","a",5.4,94,90,334,""
6629,"вытянуть","v",30.3,98,92,1102,""
6630,"вытянуться","v",10,86,89,501,""
6631,"выудить","v",3.4,77,86,211,""
6632,"выуживать","v",1.1,53,86,83,""
6633,"выучивать","v",0.5,32,81,38,""
6634,"выучить","v",14.4,98,94,769,""
6635,"выучиться","v",4,90,92,258,""
6636,"выучка","s",2.5,81,91,178,""
6637,"выхаживать","v",1.5,65,90,118,""
6638,"выхватить","v",12.5,91,90,580,""
6639,"выхватывать","v",3.9,76,91,284,""
6640,"выхлебать","v",0.5,24,76,30,""
6641,"выхлоп","s",2.1,73,89,138,""
6642,"выхлопной","a",3.1,86,92,232,""
6643,"выхлопотать","v",1.4,61,88,99,""
6644,"выход","s",147,100,97,5099,""
6645,"выходец","s",9.7,97,92,586,""
6646,"выходит","adv",1.6,63,89,118,""
6647,"выходить","v",201.6,100,97,5550,""
6648,"выходка","s",5.4,93,92,345,""
6649,"выходной","a",15.2,100,94,840,""
6650,"выходной","s",20.8,98,92,1131,""
6651,"выхолостить","v",0.8,38,84,63,""
6652,"выхухоль","s",1,18,37,18,""
6653,"выцарапать","v",1.2,47,85,88,""
6654,"выцарапывать","v",0.4,28,83,33,""
6655,"выцвести","v",2,67,89,154,""
6656,"выцветать","v",0.5,27,79,37,""
6657,"выцветший","a",3.4,70,90,228,""
6658,"вычеркивать","v",2,75,91,150,""
6659,"вычеркнуть","v",6.3,96,94,394,""
6660,"вычерпать","v",0.5,32,82,40,""
6661,"вычерпывать","v",0.6,36,83,49,""
6662,"вычертить","v",1,44,84,71,""
6663,"вычерчивать","v",0.8,48,85,68,""
6664,"вычесть","v",1.8,78,91,137,""
6665,"вычет","s",5.6,78,87,260,""
6666,"вычисление","s",9.3,81,77,347,""
6667,"вычислимый","a",0.5,7,43,9,""
6668,"вычислитель","s",0.7,26,72,34,""
6669,"вычислительный","a",12.2,76,79,409,""
6670,"вычислить","v",11.2,97,87,567,""
6671,"вычислять","v",3.2,84,87,223,""
6672,"вычисляться","v",1.7,30,72,112,""
6673,"вычистить","v",3,84,91,221,""
6674,"вычитание","s",1.1,41,81,63,""
6675,"вычитать","v",5.3,95,93,346,""
6676,"вычитаться","v",0.5,32,83,42,""
6677,"вычитывать","v",1.2,56,83,90,""
6678,"вычищать","v",0.6,37,84,51,""
6679,"вычленение","s",0.5,27,77,37,""
6680,"вычленить","v",1.4,69,88,117,""
6681,"вычленять","v",0.7,37,83,53,""
6682,"вычурный","a",1.4,66,88,116,""
6683,"вышагивать","v",2.8,70,89,197,""
6684,"вышагнуть","v",0.5,25,76,32,""
6685,"вышвыривать","v",0.6,43,86,53,""
6686,"вышвырнуть","v",2.7,72,89,188,""
6687,"выше","adv",2.6,55,79,106,""
6688,"выше","pr",11.5,100,95,774,""
6689,"вышеизложенный","a",2.5,70,84,199,""
6690,"вышеназванный","a",2.6,71,89,206,""
6691,"вышеозначенный","a",0.7,43,86,59,""
6692,"вышеописанный","a",1.9,60,87,142,""
6693,"вышеперечисленный","a",3.7,75,90,317,""
6694,"вышеприведенный","a",1.4,58,87,122,""
6695,"вышесказанное","s",0.9,38,81,75,""
6696,"вышесказанный","a",1.8,66,88,154,""
6697,"вышестоящий","a",7.8,92,84,408,""
6698,"вышеуказанный","a",3.7,71,86,295,""
6699,"вышеупомянутый","a",4.5,90,92,339,""
6700,"вышибала","s",0.8,34,81,52,""
6701,"вышибать","v",1.8,73,90,139,""
6702,"вышибить","v",4.2,77,90,258,""
6703,"вышивание","s",0.8,39,82,58,""
6704,"вышивать","v",2.3,76,90,145,""
6705,"вышивка","s",3.9,85,88,213,""
6706,"вышина","s",2.1,72,90,141,""
6707,"вышитый","a",2.3,71,87,150,""
6708,"вышить","v",3.2,86,92,215,""
6709,"вышка","s",10.5,96,85,367,""
6710,"вышколенный","a",0.9,45,86,65,""
6711,"вышколить","v",0.5,31,83,42,""
6712,"вышний","a",1.4,45,72,66,""
6713,"выщелачивание","s",0.6,18,72,28,""
6714,"выщербить","v",1,43,84,70,""
6715,"выщипать","v",0.7,36,83,52,""
6716,"выщипывать","v",0.4,26,82,28,""
6717,"выя","s",0.5,36,85,45,""
6718,"выявить","v",43.8,99,84,2064,""
6719,"выявиться","v",3.3,80,89,239,""
6720,"выявление","s",22.4,86,80,1101,""
6721,"выявлять","v",9.1,89,85,607,""
6722,"выявляться","v",5.6,75,83,357,""
6723,"выяснение","s",10,98,92,661,""
6724,"выяснить","v",44.6,100,96,2155,""
6725,"выясниться","v",57.2,100,95,2625,""
6726,"выяснять","v",13.3,98,95,810,""
6727,"выясняться","v",10.4,100,94,723,""
6728,"вьетнамец","s",3.1,63,67,95,""
6729,"вьетнамка","s",0.4,21,74,22,""
6730,"вьетнамский","a",3.8,77,88,177,""
6731,"вьюга","s",2.8,76,88,151,""
6732,"вьюжный","a",0.7,37,83,51,""
6733,"вьюк","s",0.4,13,64,14,""
6734,"вьюн","s",1,27,56,37,""
6735,"вьюнок","s",0.4,26,79,32,""
6736,"вьючный","a",0.6,23,69,29,""
6737,"вьющийся","a",3.2,84,92,213,""
6738,"вэ","s",3.5,19,53,24,"*"
6739,"вяжущий","a",0.9,46,86,59,""
6740,"вяз","s",2.2,63,84,105,""
6741,"вязальный","a",0.5,32,83,35,""
6742,"вязание","s",1.2,63,89,91,""
6743,"вязанка","s",1.1,43,80,59,""
6744,"вязаный","a",4.9,80,90,268,""
6745,"вязанье","s",0.6,26,77,38,""
6746,"вязать","v",8.5,95,93,467,""
6747,"вязаться","v",4.3,88,92,284,""
6748,"вязка","s",1.5,67,88,112,""
6749,"вязкий","a",5.7,90,92,358,""
6750,"вязкость","s",5.3,48,66,136,""
6751,"вязнуть","v",1.6,63,89,126,""
6752,"вязь","s",2,70,90,152,""
6753,"вякать","v",1,45,86,67,""
6754,"вякнуть","v",1.5,50,84,97,""
6755,"вяленый","a",1.4,59,88,97,""
6756,"вяло","adv",14.5,95,92,728,""
6757,"вялость","s",2.2,78,90,162,""
6758,"вялотекущий","a",1.1,58,88,96,""
6759,"вялый","a",11.6,100,93,651,""
6760,"вянуть","v",1.5,73,90,122,""
6761,"вятич","s",1,17,33,17,""
6762,"вятский","a",2.4,53,83,90,""
6763,"вящий","a",1.2,56,87,93,""
6764,"гаагский","a",0.9,33,76,45,""
6765,"габардиновый","a",0.5,27,80,31,""
6766,"габарит","s",5.3,91,90,361,""
6767,"габаритный","a",1.1,51,82,79,""
6768,"габитус","s",0.5,13,60,20,""
6769,"гавайский","a",0.9,49,87,67,""
6770,"гаванский","a",0.4,29,80,33,""
6771,"гавань","s",4.3,83,88,206,""
6772,"гавкать","v",0.8,39,84,63,""
6773,"гавкнуть","v",0.7,36,80,50,""
6774,"гаврик","s",0.8,31,78,45,""
6775,"гагара","s",0.4,18,68,20,""
6776,"гагаринский","a",1,36,78,48,""
6777,"гад","s",18,92,90,658,""
6778,"гадалка","s",2.6,60,81,110,""
6779,"гадание","s",3,86,91,176,""
6780,"гадательный","a",0.4,27,81,33,""
6781,"гадать","v",13.5,99,94,717,""
6782,"гаденыш","s",1.3,30,66,56,""
6783,"гаденький","a",0.5,30,82,39,""
6784,"гаджет","s",0.4,6,39,6,""
6785,"гадина","s",3.2,61,87,174,""
6786,"гадить","v",1.9,65,88,136,""
6787,"гадкий","a",6.3,93,92,368,""
6788,"гадко","adv",1.1,47,87,87,""
6789,"гадливость","s",0.8,36,83,57,""
6790,"гадливый","a",0.5,25,78,37,""
6791,"гадость","s",12.3,92,92,623,""
6792,"гадский","a",0.5,20,65,25,""
6793,"гадюка","s",2.4,61,82,112,""
6794,"гадюшник","s",0.5,27,80,32,""
6795,"гаечный","a",1.2,52,86,81,""
6796,"газ","s",101,100,90,2730,"*"
6797,"газануть","v",0.6,31,81,42,""
6798,"газель","s",3.4,71,83,170,"*"
6799,"газета","s",237.5,100,94,5350,""
6800,"газетенка","s",0.9,45,83,56,""
6801,"газетка","s",3,73,90,189,""
6802,"газетный","a",18.8,95,93,850,""
6803,"газетчик","s",3.5,76,78,180,""
6804,"газик","s",4.1,68,81,141,""
6805,"газированный","a",1.9,68,85,101,""
6806,"газировать","v",0.6,34,81,43,""
6807,"газировка","s",1.8,60,82,102,""
6808,"газификация","s",3,42,78,88,""
6809,"газоанализатор","s",0.7,16,60,20,""
6810,"газобетон","s",0.5,11,51,13,""
6811,"газовать","v",0.5,31,82,40,""
6812,"газовик","s",2.2,50,86,155,""
6813,"газовый","a",34.5,100,90,1320,""
6814,"газодинамический","a",0.6,16,70,31,""
6815,"газодобывающий","a",0.6,23,75,42,""
6816,"газоконденсатный","a",1.7,33,71,67,""
6817,"газон","s",13.1,95,87,546,""
6818,"газонный","a",0.6,31,80,43,""
6819,"газонокосилка","s",1.1,31,71,38,""
6820,"газообразный","a",1.8,35,77,88,""
6821,"газоперекачивающий","a",0.4,19,75,27,""
6822,"газоперерабатывающий","a",0.4,23,79,31,""
6823,"газопровод","s",9.6,67,78,283,""
6824,"газораспределение","s",0.4,24,78,29,""
6825,"газораспределительный","a",0.9,27,74,40,""
6826,"газоснабжающий","a",0.4,6,16,6,""
6827,"газоснабжение","s",1.7,40,76,73,""
6828,"газотранспортный","a",1.7,37,75,78,""
6829,"газотурбинный","a",1.3,38,80,55,""
6830,"газоход","s",0.6,6,12,6,""
6831,"газпромовский","a",0.6,24,78,40,""
6832,"гаишник","s",6.2,83,89,275,""
6833,"гаишный","a",0.4,26,80,32,""
6834,"гайдамак","s",0.4,16,71,19,""
6835,"гайдаровский","a",1,42,82,66,""
6836,"гайдук","s",1,15,51,16,""
6837,"гайка","s",5.2,86,90,264,""
6838,"гайморит","s",0.6,27,74,32,""
6839,"гайский","a",0.6,10,54,11,""
6840,"гак","s",2.2,69,74,98,"*"
6841,"гала-концерт","s",0.8,31,81,60,""
6842,"галактика","s",12.5,83,72,220,""
6843,"галактический","a",1.4,32,72,44,""
6844,"галантерейный","a",0.5,33,83,41,""
6845,"галантерея","s",0.8,34,81,46,""
6846,"галантно","adv",2.1,69,89,147,""
6847,"галантность","s",0.6,42,86,53,""
6848,"галантный","a",1.9,76,90,137,""
6849,"галдеж","s",0.7,37,83,58,""
6850,"галдеть","v",2.4,68,88,169,""
6851,"галера","s",0.9,41,79,55,""
6852,"галерея","s",23.2,98,93,891,""
6853,"галерист","s",0.5,20,74,26,""
6854,"галерка","s",1.8,65,86,106,""
6855,"галерный","a",0.7,14,34,16,""
6856,"галета","s",0.7,31,80,35,""
6857,"галечный","a",1.1,26,41,32,""
6858,"галилейский","a",1,20,46,39,""
6859,"галилеянин","s",1.3,25,48,51,""
6860,"галиматья","s",1.1,58,88,82,""
6861,"галифе","s",3.2,70,89,167,"*"
6862,"галка","s",5.3,65,76,149,"*"
6863,"галл","s",0.6,26,71,35,""
6864,"галлон","s",0.5,29,79,35,""
6865,"галльский","a",0.8,41,85,57,""
6866,"галлюцинация","s",5.5,88,86,254,""
6867,"галогенный","a",0.4,23,77,28,""
6868,"галогеновый","a",0.4,15,63,19,""
6869,"галоп","s",2.5,69,84,143,""
6870,"галочка","s",5.5,76,63,190,"*"
6871,"галоша","s",4.9,79,85,195,""
6872,"галс","s",0.4,25,78,27,"*"
6873,"галстук","s",28,98,93,932,""
6874,"галстучек","s",0.5,24,77,35,""
6875,"галун","s",0.7,39,85,50,""
6876,"галушка","s",0.4,22,77,27,""
6877,"галчонок","s",0.8,20,56,23,""
6878,"гальванический","a",0.9,31,75,43,""
6879,"галька","s",5,83,88,243,""
6880,"гальюн","s",1.1,33,75,40,""
6881,"гам","s",2.4,74,90,171,""
6882,"гамак","s",2.9,62,82,104,""
6883,"гамбит","s",0.4,24,78,31,""
6884,"гамбургер","s",1.9,60,87,109,""
6885,"гамбургский","a",1.8,55,85,100,""
6886,"гамлетизм","s",0.5,14,34,15,""
6887,"гамлетовский","a",0.6,33,80,39,""
6888,"гамма","s",11.1,98,92,705,""
6889,"гамма-излучение","s",0.7,18,69,30,""
6890,"гангрена","s",1.4,55,86,79,""
6891,"гангстер","s",2,62,87,116,""
6892,"гангстерский","a",0.8,48,87,62,""
6893,"ганноверский","a",0.5,23,74,28,""
6894,"гантель","s",1.3,50,85,77,""
6895,"гараж","s",26.6,98,90,850,""
6896,"гаражный","a",1.9,59,86,114,""
6897,"гарант","s",4.9,77,88,331,""
6898,"гарантийный","a",5.3,70,83,255,""
6899,"гарантирование","s",1,33,78,58,""
6900,"гарантированно","adv",1.4,54,88,119,""
6901,"гарантированный","a",4.9,81,90,387,""
6902,"гарантировать","v",27,99,93,1809,""
6903,"гарантироваться","v",2.1,59,79,150,""
6904,"гарантия","s",42.3,99,92,2224,""
6905,"гарбуз","s",0.6,8,35,8,""
6906,"гарвардский","a",1.1,47,87,81,""
6907,"гардемарин","s",0.4,17,73,20,""
6908,"гардероб","s",7.2,93,93,426,""
6909,"гардеробная","s",1.3,31,68,38,""
6910,"гардеробный","a",1.1,43,80,59,""
6911,"гардеробщик","s",1.5,48,82,73,""
6912,"гардеробщица","s",0.7,31,81,45,""
6913,"гардина","s",1.1,47,87,76,""
6914,"гарем","s",3,71,90,151,""
6915,"гаркнуть","v",3.9,65,88,209,""
6916,"гармонизация","s",1.7,42,83,112,""
6917,"гармонизировать","v",0.7,36,83,60,""
6918,"гармоника","s",1.3,49,81,73,""
6919,"гармонировать","v",2,82,91,162,""
6920,"гармонист","s",1.4,52,86,74,""
6921,"гармонически","adv",0.6,37,85,50,""
6922,"гармонический","a",3.1,72,87,175,""
6923,"гармонично","adv",3,87,91,251,""
6924,"гармоничность","s",0.6,35,83,46,""
6925,"гармоничный","a",5.2,88,90,364,""
6926,"гармония","s",21.5,99,92,938,""
6927,"гармонь","s",2.6,70,85,136,""
6928,"гармошка","s",6,90,91,318,""
6929,"гарнизон","s",9.7,90,85,317,""
6930,"гарнизонный","a",2.3,66,82,109,""
6931,"гарнир","s",2.1,65,79,117,""
6932,"гарнитур","s",2.7,81,90,160,""
6933,"гарный","a",0.5,28,81,30,""
6934,"гарпия","s",0.4,13,58,16,""
6935,"гарпун","s",0.8,31,76,36,""
6936,"гарсон","s",0.5,20,64,26,""
6937,"гарцевать","v",1.3,58,88,94,""
6938,"гарь","s",5.3,89,90,268,""
6939,"гасить","v",6.8,95,93,451,""
6940,"гаситься","v",0.5,33,83,41,""
6941,"гасконец","s",0.5,14,60,15,""
6942,"гаснуть","v",9.1,95,92,493,""
6943,"гастарбайтер","s",1.1,32,74,48,""
6944,"гастрит","s",1.2,58,88,80,""
6945,"гастролер","s",2,64,87,99,""
6946,"гастроли","s",24.9,88,87,561,""
6947,"гастролировать","v",3.2,60,85,160,""
6948,"гастроль","s",0.4,27,80,30,""
6949,"гастрольный","a",2.8,54,84,141,""
6950,"гастроном","s",5.1,81,89,258,""
6951,"гастрономический","a",2.1,72,90,160,""
6952,"гастрономия","s",0.5,35,84,43,""
6953,"гатчинский","a",0.5,17,66,23,""
6954,"гать","s",0.5,14,36,16,""
6955,"гаубица","s",1.5,50,85,80,""
6956,"гауляйтер","s",0.4,19,70,20,""
6957,"гауптвахта","s",2.4,60,87,101,""
6958,"гаусс","s",0.8,22,70,28,"*"
6959,"гашение","s",0.5,21,74,30,""
6960,"гашиш","s",1.3,46,83,65,""
6961,"гвалт","s",1.7,60,88,127,""
6962,"гвардеец","s",4.1,71,83,139,""
6963,"гвардейский","a",5.2,83,89,218,""
6964,"гвардия","s",11.9,96,92,545,""
6965,"гвоздик","s",3,76,84,172,""
6966,"гвоздика","s",4.8,89,90,284,""
6967,"гвоздить","v",0.5,31,82,39,""
6968,"гвоздь","s",24.2,98,92,911,""
6969,"где","advpro",1129.2,100,97,16309,""
6970,"где-либо","advpro",1.2,61,88,89,""
6971,"где-нибудь","advpro",29,99,94,1341,""
6972,"где-то","advpro",133.5,100,95,3393,""
6973,"гебист","s",0.4,16,68,18,""
